Tag;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
1;292;232;787;254;202;208;380;349;198;108;115;114
2;268;220;791;254;214;201;370;342;222;102;110;123
3;249;208;662;244;242;199;369;333;213;102;104;128
4;241;202;590;232;267;191;362;329;206;100;105;128
5;234;196;523;223;251;186;357;320;196;101;100;134
6;230;202;476;234;251;189;347;310;193;94;98;136
7;227;220;436;233;250;192;350;300;198;89;108;141
8;216;241;406;234;252;202;357;288;196;87;141;133
9;211;229;385;236;261;207;375;282;195;89;170;130
10;202;213;364;236;274;219;393;281;191;101;164;125
11;197;204;342;227;272;208;393;276;192;121;149;128
12;195;207;316;219;276;218;375;277;188;122;154;145
13;193;220;305;206;283;214;357;262;185;129;162;194
14;184;296;293;198;276;227;351;252;180;149;159;273
15;177;457;283;195;261;247;347;245;181;160;177;385
16;171;487;275;189;252;277;346;234;188;191;193;424
17;164;494;270;181;241;275;349;233;200;209;181;387
18;164;514;266;176;239;260;339;230;209;209;172;349
19;162;484;256;170;239;265;334;222;203;205;161;313
20;164;464;259;165;245;266;328;219;194;201;152;300
21;169;468;261;161;241;266;332;215;183;192;141;318
22;228;462;274;159;251;258;358;213;172;184;137;325
23;272;433;279;155;267;262;380;205;162;166;137;398
24;254;405;285;154;269;295;371;201;155;158;137;461
25;267;378;273;152;260;375;364;200;148;152;137;500
26;298;384;265;153;251;392;351;191;141;149;126;483
27;310;535;255;151;245;389;349;180;134;143;121;455
28;297;693;252;163;232;393;350;186;125;139;113;464
29;282;;251;170;222;403;357;192;116;130;109;460
30;268;;242;184;219;398;366;195;111;123;108;465
31;248;;250;;209;;359;198;;118;;444
